"account","2023-01","2023-02","2023-03","2023-04","2023-05","average"
"Assets:Bank:Budget:Fahrgeld","0","8,30 EUR","-1,70 EUR","10,00 EUR","8,30 EUR","4,98 EUR"
"Assets:Bank:Budget:Haushalt","14,10 EUR","-11,60 EUR","21,65 EUR","50,00 EUR","-12,01 EUR","12,43 EUR"
"Assets:Bank:Budget:Kleidung","2,50 EUR","20,00 EUR","20,00 EUR","20,00 EUR","20,00 EUR","16,50 EUR"
"Assets:Bank:Budget:Lebensmittel","6,27 EUR","31,06 EUR","28,68 EUR","152,03 EUR","155,72 EUR","74,75 EUR"
"Assets:Bank:Budget:Sonstiges","25,00 EUR","-2,65 EUR","-22,05 EUR","10,15 EUR","-2,05 EUR","1,68 EUR"
"Assets:Bank:Budget:Spenden","0","0","20,00 EUR","0","-20,00 EUR","0"
"Assets:Bank:Budget:Telekommunikation","22,51 EUR","22,51 EUR","22,51 EUR","22,51 EUR","87,51 EUR","35,51 EUR"
"Assets:Bank:Budget:Versicherungen","0,83 EUR","0,83 EUR","10,83 EUR","0,83 EUR","10,83 EUR","4,83 EUR"
"Assets:Bank:Budget:Wohnen","2,80 EUR","0","2,00 EUR","0","550,00 EUR","110,96 EUR"
"Assets:Bank:Budget:Wunschliste","22,11 EUR","80,01 EUR","217,54 EUR","91,01 EUR","56,52 EUR","93,44 EUR"
"Assets:Bank:Budget:Abo","13,58 EUR","26,57 EUR","36,52 EUR","26,57 EUR","45,51 EUR","29,75 EUR"
"Income:Salary","-2100,00 EUR","-2100,00 EUR","-2100,00 EUR","-2100,00 EUR","0","-1680,00 EUR"
"Expenses:Computer:Hardware:Amazon","0","0","0","0","20,99 EUR","4,20 EUR"
"Expenses:Haushalt:DmDrogerie","0","36,10 EUR","0","0","11,50 EUR","9,52 EUR"
"Expenses:Haushalt:Hornbach","0","0","13,40 EUR","0","0","2,68 EUR"
"Expenses:Haushalt:Amazon","355,90 EUR","40,50 EUR","14,95 EUR","0","50,51 EUR","92,37 EUR"
"Expenses:Kleidung:PayPal","17,50 EUR","0","0","0","0","3,50 EUR"
"Expenses:Lebensmittel:Essen:Baecker","0","0","0","0","7,50 EUR","1,50 EUR"
"Expenses:Lebensmittel:Essen:BurgerKing","19,99 EUR","0","13,99 EUR","12,98 EUR","0","9,39 EUR"
"Expenses:Lebensmittel:Essen:McDonalds","0","0","28,34 EUR","5,99 EUR","0","6,87 EUR"
"Expenses:Lebensmittel:Essen:Pizza","21,85 EUR","0","0","30,00 EUR","0","10,37 EUR"
"Expenses:Lebensmittel:Essen:PayPal","0","3,00 EUR","0","0","0","0,60 EUR"
"Expenses:Lebensmittel:Einkaufen:Kaufland","0","0","30,00 EUR","0","0","6,00 EUR"
"Expenses:Lebensmittel:Einkaufen:Lidl","276,09 EUR","194,10 EUR","148,99 EUR","49,00 EUR","86,78 EUR","150,99 EUR"
"Expenses:Lebensmittel:Einkaufen:Rewe","25,80 EUR","21,84 EUR","0","0","0","9,53 EUR"
"Expenses:Sonstiges:Bankgebuehren","0","17,65 EUR","16,15 EUR","19,75 EUR","17,05 EUR","14,12 EUR"
"Expenses:Sonstiges:Post","0","0","30,90 EUR","0","0","6,18 EUR"
"Expenses:Sonstiges:AWVMeldepflicht:PayPal","0","0","0","-4,90 EUR","0","-0,98 EUR"
"Expenses:Spenden:PreventCancerFoundation","0","0","0","0","20,00 EUR","4,00 EUR"
"Expenses:Telekommunikation:Fernsehen:Rundfunk","17,49 EUR","17,49 EUR","17,49 EUR","17,49 EUR","17,49 EUR","17,49 EUR"
"Expenses:Telekommunikation:Online-Dienste:Internet","40,00 EUR","40,00 EUR","40,00 EUR","40,00 EUR","0","32,00 EUR"
