"account","2023-01","2023-02","2023-03","2023-04","2023-05","average"
"Expenses:Computer","0","0","0","0","20,99 EUR","4,20 EUR"
"Expenses:Haushalt","355,90 EUR","76,60 EUR","28,35 EUR","0","62,01 EUR","104,57 EUR"
"Expenses:Kleidung","17,50 EUR","0","0","0","0","3,50 EUR"
"Expenses:Lebensmittel","343,73 EUR","218,94 EUR","221,32 EUR","97,97 EUR","94,28 EUR","195,25 EUR"
"Expenses:Sonstiges","0","17,65 EUR","47,05 EUR","14,85 EUR","17,05 EUR","19,32 EUR"
"Expenses:Spenden","0","0","0","0","20,00 EUR","4,00 EUR"
"Expenses:Telekommunikation","82,49 EUR","82,49 EUR","82,49 EUR","82,49 EUR","17,49 EUR","69,49 EUR"
"Expenses:Wohnen","547,20 EUR","550,00 EUR","548,00 EUR","550,00 EUR","0","439,04 EUR"
"Expenses:Fahrtkosten","20,00 EUR","11,70 EUR","31,70 EUR","10,00 EUR","60,70 EUR","26,82 EUR"
"Expenses:Gesundheit","0","96,10 EUR","0","7,95 EUR","0","20,81 EUR"
"Expenses:Hobbies","277,89 EUR","19,99 EUR","212,46 EUR","8,99 EUR","22,49 EUR","108,36 EUR"
"Expenses:Unterhaltung","136,18 EUR","25,93 EUR","15,98 EUR","25,93 EUR","6,99 EUR","42,20 EUR"
"Expenses:Versicherungen","0","0","0","10,00 EUR","0","2,00 EUR"
"total","1780,89 EUR","1099,40 EUR","1187,35 EUR","808,18 EUR","322,00 EUR","1039,56 EUR"
