Transactions in Assets:Bank:Checking and subaccounts:
2023-01-01 opening balances                                                           As:Sa:Cash, As:Cash, Eq:OpeningClosingBalances                               2179,78 EUR   2179,78 EUR
2023-01-02 Strom GmbH | Strom GmbH                                                    Ex:Wo:Ne:Strom                                                                -48,00 EUR   2131,78 EUR
2023-01-02 Rundfunk, ARD, ZDF, DRadio | Rundfunk, ARD, ZDF, DRadio                    Ex:Te:Fe:Rundfunk                                                             -17,49 EUR   2114,29 EUR
2023-01-02 Wohnen GmbH | Wohnen GmbH                                                  Ex:Wo:Miete                                                                  -499,20 EUR   1615,09 EUR
2023-01-03 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal Nintendo                      Ex:Ho:Ga:Nintendo                                                              -8,12 EUR   1606,97 EUR
2023-01-03 AUDIBLE GMBH | Amazon Audible GmbH Hörbuch                                 Ex:Un:Mu:St:Ab:Am:Audible                                                      -9,95 EUR   1597,02 EUR
2023-01-03 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal Crunchyroll                   Ex:Un:Mu:St:Ab:Crunchyroll                                                     -6,99 EUR   1590,03 EUR
2023-01-03 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal Steam                         Ex:Ho:Ga:Steam                                                                 -9,99 EUR   1580,04 EUR
2023-01-03 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal Steam                         Ex:Ho:Ga:Steam                                                                -14,00 EUR   1566,04 EUR
2023-01-03 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal Steam                         Ex:Ho:Ga:Steam                                                                -25,79 EUR   1540,25 EUR
2023-01-03 LIDL DIENSTLEISTUNG GMBH UND CO KG | Einkaufen Lidl                        Ex:Le:Ei:Lidl                                                                 -35,00 EUR   1505,25 EUR
2023-01-09 LIDL DIENSTLEISTUNG GMBH UND CO KG | Einkaufen Lidl                        Ex:Le:Ei:Lidl                                                                 -25,84 EUR   1479,41 EUR
2023-01-13 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal                               Ex:Kl:PayPal                                                                  -17,50 EUR   1461,91 EUR
2023-01-13 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal                               Ex:Un:Konzert                                                                 -97,26 EUR   1364,65 EUR
2023-01-16 LIDL DIENSTLEISTUNG GMBH UND CO KG | Einkaufen Lidl                        Ex:Le:Ei:Lidl                                                                -139,26 EUR   1225,39 EUR
2023-01-16 REWE SAGT DANKE | Einkaufen Rewe                                           Ex:Le:Ei:Rewe                                                                 -25,80 EUR   1199,59 EUR
2023-01-17 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal DB Ticket                     Ex:Fa:Fa:Bahn                                                                 -10,00 EUR   1189,59 EUR
2023-01-19 SCHLOSS BURGER GMBH | Essen Burger King                                    Ex:Le:Es:BurgerKing                                                           -10,99 EUR   1178,60 EUR
2023-01-23 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal                               Ex:Ho:Me:PayPal                                                              -200,00 EUR    978,60 EUR
2023-01-23 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal                               Ex:Le:Es:Pizza                                                                -21,85 EUR    956,75 EUR
2023-01-23 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal Disney Plus (Disney+)         Ex:Un:Mu:St:Ab:DisneyPlus                                                      -8,99 EUR    947,76 EUR
2023-01-23 LIDL DIENSTLEISTUNG GMBH UND CO KG | Einkaufen Lidl                        Ex:Le:Ei:Lidl                                                                 -45,00 EUR    902,76 EUR
2023-01-25 INTERNET GMBH | Internet GmbH                                              Ex:Te:On:Internet                                                             -40,00 EUR    862,76 EUR
2023-01-27 Handy Deutschland GmbH | Handy-Internet                                    Ex:Te:Te:Handy                                                                -25,00 EUR    837,76 EUR
2023-01-30 AMAZON PAYMENTS EUROPE S.C.A. | Amazon                                     Ex:Ha:Amazon                                                                  -99,95 EUR    737,81 EUR
2023-01-30 AMAZON PAYMENTS EUROPE S.C.A. | Amazon 123-1234567-1234567                 Ex:Ha:Amazon                                                                 -200,00 EUR    537,81 EUR
2023-01-30 AMAZON PAYMENTS EUROPE S.C.A. | Amazon 123-1234567-1234567                 Ex:Ha:Amazon                                                                  -55,95 EUR    481,86 EUR
2023-01-30 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal Steam                         Ex:Ho:Ga:Steam                                                                -19,99 EUR    461,87 EUR
2023-01-30 LIDL DIENSTLEISTUNG GMBH UND CO KG | Einkaufen Lidl                        Ex:Le:Ei:Lidl                                                                 -30,99 EUR    430,88 EUR
2023-01-30 SCHLOSS BURGER GMBH | Essen Burger King                                    Ex:Le:Es:BurgerKing                                                            -9,00 EUR    421,88 EUR
2023-01-30 DB AUTOMAT | DB Fahrkarten                                                 Ex:Fa:Fa:Bahn                                                                 -10,00 EUR    411,88 EUR
2023-01-30 Arbeit GmbH | Einkommen von Arbeit GmbH                                    In:Salary                                                                    2100,00 EUR   2511,88 EUR
2023-01-31 NETFLIX SERVICES GERMANY GMBH | Netflix                                    Ex:Un:Mu:St:Ab:Netflix                                                        -12,99 EUR   2498,89 EUR
2023-02-01 Entgeltabrechnung                                                          Ex:So:Bankgebuehren                                                           -17,65 EUR   2481,24 EUR
2023-02-01 Strom GmbH | Strom GmbH                                                    Ex:Wo:Ne:Strom                                                                -50,00 EUR   2431,24 EUR
2023-02-01 Rundfunk, ARD, ZDF, DRadio | Rundfunk, ARD, ZDF, DRadio                    Ex:Te:Fe:Rundfunk                                                             -17,49 EUR   2413,75 EUR
2023-02-02 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal Essen Ausgeben                Ex:Le:Es:PayPal                                                                -3,00 EUR   2410,75 EUR
2023-02-02 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal                               Ex:Ge:Me:Apotheke                                                             -96,10 EUR   2314,65 EUR
2023-02-02 Wohnen GmbH | Wohnen GmbH                                                  Ex:Wo:Miete                                                                  -500,00 EUR   1814,65 EUR
2023-02-03 AUDIBLE GMBH | Amazon Audible GmbH Hörbuch                                 Ex:Un:Mu:St:Ab:Am:Audible                                                      -9,95 EUR   1804,70 EUR
2023-02-03 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal Crunchyroll                   Ex:Un:Mu:St:Ab:Crunchyroll                                                     -6,99 EUR   1797,71 EUR
2023-02-03 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal DB Ticket                     Ex:Fa:Fa:Bahn                                                                 -11,70 EUR   1786,01 EUR
2023-02-07 AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND | Amazon 123-1234567-1234..  Ex:Ha:Amazon                                                                   -8,50 EUR   1777,51 EUR
2023-02-08 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal dm-drogerie                   Ex:Ha:DmDrogerie                                                              -36,10 EUR   1741,41 EUR
2023-02-09 LIDL DIENSTLEISTUNG GMBH UND CO KG | Einkaufen Lidl                        Ex:Le:Ei:Lidl                                                                -103,98 EUR   1637,43 EUR
2023-02-14 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal Steam                         Ex:Ho:Ga:Steam                                                                -19,99 EUR   1617,44 EUR
2023-02-17 AMAZON PAYMENTS EUROPE S.C.A. | Amazon 123-1234567-1234599                 Ex:Ha:Amazon                                                                   -7,00 EUR   1610,44 EUR
2023-02-17 AMAZON PAYMENTS EUROPE S.C.A. | Amazon 123-1234567-1234599                 Ex:Ha:Amazon                                                                  -25,00 EUR   1585,44 EUR
2023-02-20 LIDL DIENSTLEISTUNG GMBH UND CO KG | Einkaufen Lidl                        Ex:Le:Ei:Lidl                                                                 -90,12 EUR   1495,32 EUR
2023-02-21 PayPal Europe S.a.r.l. et Cie S.C.A | PayPal Disney Plus (Disney+)         Ex:Un:Mu:St:Ab:DisneyPlus                                                      -8,99 EUR   1486,33 EUR
2023-02-24 INTERNET GMBH | Internet GmbH                                              Ex:Te:On:Internet                                                             -40,00 EUR   1446,33 EUR
