"account","2023-01","2023-02","2023-03","2023-04","2023-05","average"
"Assets:Bank:Budget:Fahrgeld","20,00 EUR","20,00 EUR","30,00 EUR","20,00 EUR","20,00 EUR","22,00 EUR"
"Assets:Bank:Budget:Haushalt","370,00 EUR","65,00 EUR","50,00 EUR","50,00 EUR","50,00 EUR","117,00 EUR"
"Assets:Bank:Budget:Kleidung","20,00 EUR","20,00 EUR","20,00 EUR","20,00 EUR","20,00 EUR","20,00 EUR"
"Assets:Bank:Budget:Lebensmittel","350,00 EUR","250,00 EUR","250,00 EUR","250,00 EUR","250,00 EUR","270,00 EUR"
"Assets:Bank:Budget:Sonstiges","25,00 EUR","15,00 EUR","25,00 EUR","25,00 EUR","15,00 EUR","21,00 EUR"
"Assets:Bank:Budget:Spenden","0","0","20,00 EUR","0","0","4,00 EUR"
"Assets:Bank:Budget:Telekommunikation","105,00 EUR","105,00 EUR","105,00 EUR","105,00 EUR","105,00 EUR","105,00 EUR"
"Assets:Bank:Budget:Versicherungen","0,83 EUR","0,83 EUR","10,83 EUR","10,83 EUR","10,83 EUR","6,83 EUR"
"Assets:Bank:Budget:Wohnen","550,00 EUR","550,00 EUR","550,00 EUR","550,00 EUR","550,00 EUR","550,00 EUR"
"Assets:Bank:Budget:Wunschliste","300,00 EUR","100,00 EUR","300,00 EUR","100,00 EUR","100,00 EUR","180,00 EUR"
"Assets:Bank:Budget:Abo:DTicket","0","0","0","0","49,00 EUR","9,80 EUR"
"Assets:Bank:Budget:Abo:Multimedia","45,00 EUR","45,00 EUR","45,00 EUR","45,00 EUR","45,00 EUR","45,00 EUR"
"Assets:Bank:Budget:Abo:Amazon","7,50 EUR","7,50 EUR","7,50 EUR","7,50 EUR","7,50 EUR","7,50 EUR"
"total","1793,33 EUR","1178,33 EUR","1413,33 EUR","1183,33 EUR","1222,33 EUR","1358,13 EUR"
